kernel,args,regs,shmem,device_name,gx,gy,gz,bx,by,bz,time_ms,trial
conv2d_7x7,--H 1024 --W 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,64,64,1,16,16,1,0.260588,1
conv2d_7x7,--H 1024 --W 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,64,64,1,16,16,1,0.260531,2
conv2d_7x7,--H 1024 --W 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,64,64,1,16,16,1,0.260547,3
conv2d_7x7,--H 1024 --W 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,64,64,1,16,16,1,0.258540,4
conv2d_7x7,--H 1024 --W 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,64,64,1,16,16,1,0.256102,5
conv2d_7x7,--H 1024 --W 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,64,64,1,16,16,1,0.260547,6
conv2d_7x7,--H 1024 --W 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,64,64,1,16,16,1,0.258176,7
conv2d_7x7,--H 1024 --W 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,64,64,1,16,16,1,0.258437,8
conv2d_7x7,--H 1024 --W 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,64,64,1,16,16,1,0.256041,9
conv2d_7x7,--H 1024 --W 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,64,64,1,16,16,1,0.255980,10
