kernel,args,regs,shmem,device_name,gx,gy,gz,bx,by,bz,time_ms,trial
vector_add,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,4096,1,1,256,1,1,0.008960,1
vector_add,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,4096,1,1,256,1,1,0.008929,2
vector_add,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,4096,1,1,256,1,1,0.008940,3
vector_add,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,4096,1,1,256,1,1,0.008940,4
vector_add,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,4096,1,1,256,1,1,0.008950,5
vector_add,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,4096,1,1,256,1,1,0.008940,6
vector_add,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,4096,1,1,256,1,1,0.008980,7
vector_add,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,4096,1,1,256,1,1,0.008940,8
vector_add,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,4096,1,1,256,1,1,0.008940,9
vector_add,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,4096,1,1,256,1,1,0.008940,10
